    1. 當空氣密度增加時，對飛機升力的影響為何者？
(D) 鋒面過境或西南季風吹拂時均為強烈。

    25. 遙控無人機操作人於操作前及操作時需隨時注意天氣狀況，因天氣因素可能對無人機產生何種影響？
(A) 外觀美感。
(B) 飛行航向。
(C) 品牌知名度。
(D) 重量大小。

    26. 下列何種天氣現象，與大氣垂直運動無直接關係？
(A) 雷雨。
(B) 平流霧。
(C) 冰雹。
(D) 下爆氣流。

    27. 大氣穩定度與下列何項因子有直接關係？
(A) 空氣流動方向。
(B) 空氣中懸浮微粒大小。
(C) 水氣飽和程度。
(D) 空氣乾燥程度。

    28. 於地球表面某特殊地區所生成，具停留時間長且其水平方向之物理性質(如溫度及濕度)等均為一致之廣大空氣體，稱之？
(A) 鋒面。
(B) 氣團。
(C) 颶風。
(D) 塔狀積雲。

    29. 下列哪個城市所處位置之氣候條件，較易發生午後雷陣雨？
(A) 東京。
(B) 新加坡。
(C) 莫斯科。
(D) 倫敦。

    30. 一定量空氣於一定溫度下，所能容納之下列何者亦有其限度？
(A) PM2.5。
(B) 微生物。
(C) 水氣量。
(D) 細菌。

    31. 當空氣中水氣含量已達其最高限度時，此時相對溼度為何？
(A) 0.2。
(B) 0.4。
(C) 0.8。
(D) 1。

    32. 空氣能容納水氣量之多寡與下列何者有密切關係？
(A) 空氣含氧量。
(B) 空氣雜質含量。
(C) 溫度。
(D) 空氣惰性氣體成份。

    33. 已飽和之水氣如遇溫度持續下降，不會產生下列哪種現象？
(A) 霧。
(B) 雲。
(C) 雨滴。
(D) 風。

    34. 空氣中實際所含水氣量，與相同溫度下可含最大水氣量之百分比，稱為？
(A) 絕對濕度。
(B) 相對濕度。
(C) 同溫濕度。
(D) 實際濕度。

    35. 空氣中濕度越高，會導致下列哪種情形？
(A) 空氣的壓力越大。
(B) 空氣密度越低。
(C) 飛行器升力增加。
(D) 涼爽度提高。

    36. 當空氣溫度等於露點溫度時，即達到何種狀況？
(A) 水氣沸點。
(B) 水氣飽和點。
(C) 水氣熔點。
(D) 水氣蒸發點。

    37. 水汽飽和時不會產生下列哪種現象？
(A) 雲。
(B) 霧。
(C) 雨。
(D) 雷爆。

    38. 「霧」依其形成條件及特性分有不同種類，下列何者非常用之分類？
(A) 平流霧。
(B) 蒸氣霧。
(C) 鋒面霧。
(D) 高空霧。

    39. 有關平流霧之特點，下列何者為非？
(A) 日出後消散快速。
(B) 相對濕度較高。
(C) 不容易消散。
(D) 可能發生於沿海區域。

    40. 下列哪一種情況能有助於平流霧之消散？
(A) 風速變小。
(B) 風向轉變。
(C) 溫度升高。
(D) 濕度增高。

    41. 有關輻射霧之特點，下列何者為非？
(A) 日出後漸漸消散。
(B) 大都發生於冬季。
(C) 相較於平流霧比較不容易消散。
(D) 通常地面風速微弱、空氣穩定。

    42. 冷空氣因流經溫暖水面之蒸發作用使其中水氣增加，因而凝結成下列哪種霧的型態？
(A) 蒸氣霧。
(B) 輻射霧。
(C) 山坡霧。
(D) 鋒面霧。

    43. 蒸氣霧常出現於下列哪個季節？
(A) 春夏季節。
(B) 夏末季節。
(C) 秋冬季節。
(D) 春末季節。

    44. 於兩股不同性質氣團之交界面，當空氣自高空往下移動自近地面較冷空氣而凝結所成之霧，稱之？
(A) 鋒面霧。
(B) 山坡霧。
(C) 輻射霧。
(D) 蒸氣霧。

    45. 鋒面霧多伴隨何種天氣現象發生？
(A) 颱風。
(B) 鋒面。
(C) 雷陣雨。
(D) 龍捲風。

    46. 平流和輻射兩種物理過程亦可相輔相成，造成下列哪種霧的發生？
(A) 平流輻射霧。
(B) 山坡霧。
(C) 蒸氣霧。
(D) 鋒面霧。

    47. 當周遭空氣溫度下降至低於露點，水氣因此凝結成水滴並附著於地表或建築物上，其稱之？
(A) 雲。
(B) 露。
(C) 霧。
(D) 霜。

    48. 附著於航空器上之露珠若凝結成固態霜，對飛航安全有何影響？
(A) 對飛安有幫助。
(B) 對飛安可能造成危害。
(C) 對飛安並無影響。
(D) 對飛安有時可能造成危害有時無影響。

    49. 附著於機體表面的霜在飛行時不會產生下列哪種情形？
(A) 擾動流經機翼之空氣。
(B) 降低升力。
(C) 增加阻力。
(D) 增加飛航效率。

    50. 於大陸型氣候區域執行深秋早晨之飛行任務前，務必進行下列哪個程序以確保安全？
(A) 暖身程序。
(B) 點名程序。
(C) 除霜程序。
(D) 冥想程序。

    51. 雲有下列哪幾種型態？
(A) 積狀雲。
(B) 層狀雲。
(C) 卷狀雲。
(D) 以上皆是。

    52. 雲的型態依據雲所在的高度可以分成下列哪幾種？
(A) 高雲族。
(B) 中雲族。
(C) 低雲族。
(D) 以上皆是。

    53. 高雲族高度大約在6,000公尺以上，主要有下列哪幾種？
(A) 卷雲。
(B) 卷層雲。
(C) 卷積雲。
(D) 以上皆是。

    54. 中雲族高度大約在2,000~6,000公尺，主要有下列哪幾種？
(A) 高積雲。
(B) 高層雲。
(C) 雨層雲。
(D) 以上皆是。

    55. 低雲族高度位於2,000公尺以下，包含下列哪幾種？
(A) 積雲。
(B) 層雲。
(C) 層積雲。
(D) 以上皆是。

    56. 下列何者為常見氣團分類方式？
(A) 依其源地緯度高或低。
(B) 依其源地為大陸或海洋。
(C) 依其所經地面為冷空氣或暖空氣。
(D) 以上皆是。

    57. 氣團本身冷於周遭空氣稱為？
(A) 暖氣團。
(B) 冷氣團。
(C) 冰氣團。
(D) 熱氣團。

    58. 氣團穩定度決定其籠罩區域的哪種形態？
(A) 社會形態。
(B) 經濟形態。
(C) 天氣形態。
(D) 政治形態。

    59. 在鋒面兩側的下列哪種現象通常均有明顯的差異？
(A) 溫度。
(B) 濕度。
(C) 風、天氣。
(D) 以上皆是。

    60. 當冷空氣前進，迫使暖空氣後退而取代暖空氣原有位置，則此時產生之鋒面稱為？
(A) 滯留鋒。
(B) 暖鋒。
(C) 冷鋒。
(D) 囚錮鋒。

    61. 當冷暖氣團勢均力敵以致使鋒面呈滯留狀態，此時之鋒面稱為？
(A) 暖鋒。
(B) 滯留鋒。
(C) 冷鋒。
(D) 囚錮鋒。

    62. 遙控無人機飛經各鋒面區時，可能遭遇下列何項劇烈變化？
(A) 溫度。
(B) 濕度。
(C) 風向。
(D) 以上皆是。

    63. 遙控無人機於山區飛行時若遇強風，則可選擇何處飛行相較為平順？
(A) 背風面。
(B) 側風面。
(C) 迎風面。
(D) 以上皆非。

    64. 遙控無人機於山區飛行時，過了山巔需注意沿何方向所產生之亂流？
(A) 側風面。
(B) 背風面。
(C) 迎風面。
(D) 以上皆非。

    65. 遙控無人機飛越可見水氣（如雨或雲）時，需注意哪個部位可能發生積冰現象？
(A) 機翼翼面。
(B) 尾翼翼面。
(C) 感測器。
(D) 以上皆是。

    66. 遙控無人機飛行時，於下列哪種情形可能發生積冰現象？
(A) 機體周遭氣溫為攝氏零度。
(B) 機體周遭氣溫為攝氏零度以下。
(C) 有可見水氣。
(D) 以上皆是。

    67. 當遙控無人機飛越結冰區域時，可能發生下列哪種狀況？
(A) 影響或誤判遙控無人機飛行性能表現。
(B) 提升遙控無人機飛行性能表現。
(C) 遙控無人機飛行性能表現可能變好或變壞。
(D) 不太可能發生任何狀況。

    68. 雷雨的發展循環不包含下列何者？
(A) 發展期。
(B) 成熟期。
(C) 重疊期。
(D) 消散期。

    69. 雷雨成熟期具有的特徵為何？
(A) 下沉氣流。
(B) 開始降水。
(C) 打雷。
(D) 以上皆是。

    70. 雷雨消散期具有的特徵為何？
(A) 降雨減緩。
(B) 下沉氣流減緩。
(C) 雷雨雹消散。
(D) 以上皆是。

    71. 臺北航空氣象中心隸屬於下列哪個機關？
(A) 交通部觀光局飛航服務總臺。
(B) 交通部民用航空局飛航服務總臺。
(C) 交通部中央氣象局飛航服務總臺。
(D) 交通部航政司飛航服務總臺。

    72. 遙控無人機操作人可透過中央氣象局網頁取得下列哪項資料？
(A) 天氣觀測資料。
(B) 天氣預報資料。
(C) 衛星雲圖。
(D) 以上皆是。

    73. 遙控無人機操作人可透過飛航服務總臺所建置之航空氣象服務網(AOAWS)取得下列哪項資料？
(A) 國內外主要機場之即時觀測資料。
(B) 國內機場6小時天氣預報資料。
(C) 太平洋地區衛星雲圖。
(D) 高空風溫圖。

    74. 考量天氣條件對於遙控無人機操控行為之影響，遙控無人機操作人應具備下列何者之基礎判讀能力？
(A) 航空氣象報文。
(B) 國內城市氣象報文。
(C) 外國城市氣象報文。
(D) 觀光地區氣象報文。

    75. 航空例行天氣報告中，所使用觀測日期與時間及其代碼說明為下列何者？
(A) Z字母指示碼；代表UTC時間。
(B) L字母指示碼；代表本地時間。
(C) T字母指示碼；代表UTC時間。
(D) X字母指示碼；代表本地時間。

    76. 航空例行天氣報告中，所觀測盛行能見度值，其編報方式及單位為何？
(A) 4碼（公尺）。
(B) 6碼（公尺）。
(C) 8碼（公尺）。
(D) 10碼（公尺）。

    77. 航空氣象觀測員將天空劃分成8等份，若觀測到1/8至2/8的天空被雲層遮蓋，該雲量類別稱為下列何者？
(A) 稀雲。
(B) 疏雲。
(C) 裂雲。
(D) 密雲。

    78. 航空氣象觀測員將天空劃分成8等份，若觀測到3/8至4/8的天空被雲層遮蓋，該雲量類別稱為下列何者？
(A) 稀雲。
(B) 疏雲。
(C) 裂雲。
(D) 密雲。

    79. 航空氣象觀測員將天空劃分成8等份，若觀測到5/8至7/8的天空被雲層遮蓋，該雲量類別稱為下列何者？
(A) 稀雲。
(B) 疏雲。
(C) 裂雲。
(D) 密雲。

    80. 航空氣象觀測員將天空劃分成8等份，若觀測到8/8的天空被雲層遮蓋，該雲量類別稱為下列何者？
(A) 稀雲。
(B) 疏雲。
(C) 裂雲。
(D) 密雲。

    81. 航空例行天氣報告中，雲層之雲底高度單位為下列哪一個？
(A) 公尺。
(B) 公里。
(C) 呎。
(D) 浬。

    82. 終端機場天氣觀測報中，盛行天氣現象包括下列哪個項目？
(A) 風向風速。
(B) 能見度。
(C) 天氣狀況及雲組。
(D) 以上皆是。
