    1. 遙控無人機操作人在執行任務前及過程中，需確保參與執行的成員不受下列哪種狀況的影響？
(C) 協調性及溝通性降低。
(D) 以上皆是。

    18. 急性疲勞通常是下列哪一種？
(A) 短期。
(B) 長期。
(C) 有時長期有時短期。
(D) 以上皆非。

    19. 遙控無人機操作人若忽略或未及時改善急性疲勞，則會進一步造成下列哪種狀況？
(A) 過度疲勞。
(B) 慢性疲勞。
(C) 中度疲勞。
(D) 低度疲勞。

    20. 慢性疲勞可能出現的症狀包括下列哪種狀況？
(A) 虛弱、強烈的疲倦、倦怠感。
(B) 心悸、呼吸不順、頭痛。
(C) 其他身體的不適及沮喪與焦慮。
(D) 以上皆是。

    21. 急性疲勞中，有種特殊情況稱之為下列哪種疲勞，在操作方面的影響主要有時機掌握混亂及視域過度聚焦？
(A) 社會性疲勞。
(B) 經濟性疲勞。
(C) 技能疲勞。
(D) 教育性疲勞。

    22. 下列哪種狀況是身體組織水分不足的情況？
(A) 脫水。
(B) 失眠。
(C) 低血糖。
(D) 缺氧。

    23. 下列哪種狀況可能會造成水分補充不及導致脫水？
(A) 長時間處於高溫、高溼度、高海拔環境。
(B) 心理壓力。
(C) 飲用過多刺激性飲料。
(D) 以上皆是。

    24. 脫水最先出現的症狀是下列哪種狀況，將導致遙控無人機操作人的生理及心智表現下滑？
(A) 口乾。
(B) 舌燥。
(C) 較強的疲勞感。
(D) 以上皆是。

    25. 為避免脫水，遙控無人機操作人應隨時掌握己身之生理狀況，並採取下列哪個動作？
(A) 隨時閱讀。
(B) 適時補充水分。
(C) 適時上廁所。
(D) 隨時聽音樂。

    26. 下列哪種狀況是指身體無法對體溫進行控制？
(A) 缺氧。
(B) 低血糖。
(C) 熱中暑。
(D) 失眠。

    27. 熱中暑原因是下列哪種狀況？
(A) 身體的熱無法排出。
(B) 飲酒過量。
(C) 失眠。
(D) 低血糖。

    28. 避免熱中暑的方法是採取下列哪個動作？
(A) 勿飲酒過量。
(B) 充分的睡眠。
(C) 規律攝取足量水份。
(D) 按時用餐。

    29. 若遙控無人機操作人服用下列哪種藥物，可能會產生暈眩或是感知功能不全的情況？
(A) 成藥。
(B) 抗組織胺。
(C) 解除充血劑。
(D) 以上皆是。

    30. 酒精可能對下列哪種狀況造成影響？
(A) 影響操作及判斷、較難掌握周邊環境的變化。
(B) 身體協調性變差、視界窄化。
(C) 降低邏輯能力及注意力低落。
(D) 以上皆是。

    31. 在下列哪個時機，遙控無人機操作人應對遙控無人機進行起飛前檢查？
(A) 每次操作前。
(B) 遙控無人機有明顯異狀時。
(C) 天氣變壞時。
(D) 操作人感覺不對時。

    32. 遙控無人機起飛前檢查中發現任何異常狀況，應採取下列哪個動作？
(A) 暫時忽略異常狀況，繼續操作。
(B) 應立即修正以確保安全。
(C) 記錄異常狀況就好，不必大驚小怪，繼續操作。
(D) 任務重要就繼續操作，任務不重要就暫停操作。

    33. 緊急落地可依類型區分為下列哪幾種？
(A) 迫降。
(B) 預防性緊急著陸。
(C) 水上迫降。
(D) 以上皆是。

    34. 當面對緊急狀況時，若平時沒有熟悉緊急應變之處置程序，操作人可能會陷入下列哪種情境中？
(A) 遙控無人機即將墜地。
(B) 遙控無人機不會出事。
(C) 遙控無人機的緊急狀況會自動消失。
(D) 遙控無人機會自動處理緊急狀況。

    35. 當遙控無人機發生異常或緊急事件時，應先穩定操作，掌握無人機位置及高度，再採取下列哪個動作？
(A) 通報有關機關。
(B) 依檢查表，啟動或關閉相關裝備。
(C) 尋找最佳的緊急落地處。
(D) 以上皆是。

    36. 飛行決策是基於經驗的累積及判斷集合而成，著重於下列哪種決策方案？
(A) 學習決策方案。
(B) 評估決策方案。
(C) 選擇決策方案。
(D) 以上皆是。

    37. 風險管理的目的是為能夠主動辨識與飛航安全有關的危害因子，並透過下列哪個手段降低到可接受之程度？
(A) 迴避。
(B) 減少。
(C) 隔離。
(D) 以上皆是。

    38. 飛行決策的過程中應掌握下列哪個基本原則？
(A) 不接受非相關的風險、將風險設定在合適的層級。
(B) 在獲益超過危害時接受風險。
(C) 將風險管理整合在飛行各階段的計劃過程中。
(D) 以上皆是。

    39. 操作人執行遙控無人機操作時，下列哪種心態干擾會降低飛行決策的品質？
(A) 反威權、衝動及僥倖。
(B) 衝動、僥倖及服從。
(C) 英雄主義及積極順應。
(D) 以上皆是。

    40. 遙控無人機操作人降低風險的方法，包括下列哪種？
(A) 辨識己身風險。
(B) 預知己身風險。
(C) 覺察己身風險。
(D) 以上皆是。

    41. 下列哪個因素與飛航安全密切相關，已成為維修部門及飛航管理部門關切的焦點？
(A) 政治因素。
(B) 人為因素。
(C) 社會因素。
(D) 經濟因素。

    42. 自動決策模式基本上是一種反射性的模式，其形成的重要基礎是下列哪種方式？
(A) 大量的訓練及經驗。
(B) 擴大參與人數。
(C) 正確的政治指導。
(D) 高深的哲學思想。

    43. 自動決策模式常用於下列哪種情況？
(A) 緊急情況。
(B) 無法預作分析的情況。
(C) 無法沙盤推演的情況。
(D) 以上皆是。
